code,name,level
43.12.11.160,Работы по бурению горизонтальных каналов для прокладки кабелей или дренажных труб,4
43.12.11.170,Работы по отрывке траншей для осушения участка,4
43.12.11.190,"Работы земляные прочие, не включенные в другие группировки",4
43.12.12,Работы по отрывке и перемещению грунта,3
43.12.12.000,Работы по отрывке и перемещению грунта,4
43.13,Работы буровые и разведочные буровые,2
43.13.1,Работы буровые и разведочные буровые,3
43.13.10,Работы буровые и разведочные буровые,3
43.13.10.110,"Работы по отбору проб грунта (кернов) для строительных целей, геофизических, геологических или аналогичных исследований",4
43.13.10.120,Работы по бурению разведочных скважин на нефть и газ,4
43.13.10.130,Работы по бурению разведочных скважин на твердые полезные ископаемые,4
43.13.10.190,Работы разведочные буровые прочие,4
43.2,"Работы электромонтажные, работы по монтажу водопроводных и канализационных систем и прочие строительно-монтажные работы",2
43.21,Работы электромонтажные,2
43.21.1,Работы электромонтажные,3
43.21.10,Работы электромонтажные,3
43.21.10.110,"Работы по монтажу основных сетей электроосвещения и электроснабжения или электроарматуры, требующие специальной квалификации, в зданиях, сооружениях и на прочих строительных объектах",4
43.21.10.120,"Работы электромонтажные, связанные с установкой приборов",4
43.21.10.130,Работы по монтажу сетей электроосвещения и электроснабжения и электроарматуры для систем аварийного электроснабжения,4
43.21.10.140,Работы по монтажу систем пожарной сигнализации и охранной сигнализации,4
43.21.10.150,"Работы по монтажу антенн всех типов, включая спутниковые антенны, в жилых зданиях",4
43.21.10.160,Работы по монтажу проводных и кабельных сетей кабельного телевидения в здании,4
43.21.10.170,Работы электромонтажные по прокладке телекоммуникационной проводки,4
43.21.10.180,"Работы электромонтажные по монтажу прочего электрического оборудования, включая электрические солнечные коллекторы и плинтусные обогреватели, в зданиях и сооружениях",4
43.21.10.210,Работы по установке приборов учета расхода электроэнергии,4
43.21.10.220,"Работы по монтажу систем освещения и сигнализации автомобильных дорог, аэропортов и портов",4
43.21.10.230,Работы по приспособлению систем электрообеспечения на объектах культурного наследия,4
43.21.10.290,"Работы электромонтажные прочие, не включенные в другие группировки",4
43.22,"Работы по монтажу систем водопровода, канализации, отопления и кондиционирования воздуха",2
43.22.1,"Работы по монтажу систем водопровода, канализации, отопления, вентиляции и кондиционирования воздуха",3
